NEW_ACCOUNT_NUMBER,MATCH_COUNT,CLIENT,ACCOUNT NO.,DOC. NO.,GROUP,NEW REGISTRATION,ASSET BARCODE,PROJECT,CODE,DESCRIPTION,COMMENTS,SUPPLIER,HOLDING COMPANY,QTY,DISCOUNT,COST EX.,PRICE EX.,PRICE INCL.,TOTAL INCL.
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMPA76780","","","TEMPA76780","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMPA95234","","","TEMPA95234","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMPA47843","","","TEMPA47843","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMPA47073","","","TEMPA47073","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMP795693","","","TEMP795693","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMP763330","","","TEMP763330","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMP019991","","","TEMP019991","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","MD30BBGP","","","MD30BBGP","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMP019013","","","TEMP019013","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMP763326","","","TEMP763326","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","MS99MSGP","","","MS99MSGP","BEAME SUBS","BEAME SUBS","","","","1","0.00%","70.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMP900621 - NEW INSTALL","","","TEMP900621 - NEW INSTALL","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","","","","1","0.00%","99.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","LW73NMGP - NEW INSTALL","","","LW73NMGP - NEW INSTALL","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","","","","1","0.00%","99.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","TEMP795694","","","","BEAME SUBS","BEAME SUBS","","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0031",6,"EDGE - LOCHNER TRANSPORT","798","","CN19916","","","DLTH31WP - CHASSIS36746","Beame Monthly Bom","Beame Subs","AS PER CLIENT SAME BEAME TAKEN OUT DLTH31WP AND PUT INTO CN19916 - AS PER NEW PRICE AGREEMENT - 12/03/2021","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0031",6,"EDGE - LOCHNER TRANSPORT","798","","CN9499","","","CN9499","Beame Monthly Bom","Beame Subs","AS PER NEW PRICE AGREEMENT - 12/03/2021. CHANGE PRICING TO ZERO, AWAITING DECOMMISSION JOB CARD.","","","1","0.00%","0.00","","",""
"EDGE-0031",6,"EDGE - LOCHNER TRANSPORT","798","","DLTK57WP","","","DLTK57WP","Beame Monthly Bom","Beame Subs","AS PER NEW PRICE AGREEMENT - 12/03/2021","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0032",7,"EDGE - LANCEWOOD","928-LD","","CHASSIS10138","","","CHASSIS10138","Beame Monthly Bom","Beame Subs","","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0032",7,"EDGE - LANCEWOOD","928-LD","","CHASSIS808444","","","CHASSIS808444","Beame Monthly Bom","Beame Subs","","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0032",7,"EDGE - LANCEWOOD","928-LD","","CHASSIS811360","","","CHASSIS811360","Beame Monthly Bom","Beame Subs","","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0032",7,"EDGE - LANCEWOOD","928-LD","","CHASSIS10143","","","CHASSIS10143","Beame Monthly Bom","Beame Subs","","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0032",7,"EDGE - LANCEWOOD","928-LD","","CHASSIS10139","","","CHASSIS10139","Beame Monthly Bom","Beame Subs","","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0032",7,"EDGE - LANCEWOOD","928-LD","","CAW36495","","","","Beame Subs","Beame Monthly Fee","","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0024",3,"EDGE - MIKE JESSEMAN","945","","CHASSIS146076","","","CHASSIS146076","Beame Monthly Bom","Beame Subs","","","","1","0.00%","0.00","70","80.5","80.5"
"DACO-0001",11,"DATA CONNECTIVITY SOLUTIONS (Pty) Ltd","DCS009 -SKY","","CH314884","","","CH314884","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","","","","1","0.00%","406.00","426.3","490.25","490.25"
"DACO-0001",11,"DATA CONNECTIVITY SOLUTIONS (Pty) Ltd","DCS009 -SKY","","CH58483","","","CH58483","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","","","","1","0.00%","406.00","426.3","490.25","490.25"
"FRSU-0001",365,"FREIGHT SURVEILLANCE INTERNATIONAL","FSI001","","FSI303","FSI303","","FSI303","Skylink Rental BOM","Rental Deal","REMOVAL OF NANO ONLY","","","1","0.00%","152.94","461.14","530.31","530.31"
"FRSU-0001",365,"FREIGHT SURVEILLANCE INTERNATIONAL","FSI001","","FSI272","FSI272","","FSI272","Netstar Nano Monthly Bom","Nano Subs","REMOVAL OF NANO ONLY","","","1","0.00%","92.14","461.14","530.31","530.31"
"FRSU-0001",365,"FREIGHT SURVEILLANCE INTERNATIONAL","FSI001","","FSI409","","","","Netstar Nano Monthly Bom","Nano Subs","","","","1","0.00%","99.00","110.69","127.29","127.29"
"FRSU-0001",365,"FREIGHT SURVEILLANCE INTERNATIONAL","FSI001","","FSI426","","","FSI426","Skylink Rental BOM","Rental Deal","REMOVAL OF NANO ONLY","","","1","0.00%","0.00","461.14","530.31","530.31"
"FRSU-0001",365,"FREIGHT SURVEILLANCE INTERNATIONAL","FSI001","","FSI465","","","FSI465","Skylink Rental BOM","Rental Deal","REMOVAL OF NANO ONLY","","","1","0.00%","0.00","461.14","530.31","530.31"
"KELO-0001",15,"KENBERT LOGISTICS","KENBERT","","FW34BFGP","FW34BFGP","","FW34BFGP - KENBERT - NEW BEAME INSTALL","Beame Monthly Bom","Beame Subs","","","","1","0.00%","0.00","164.95","189.69","189.69"
"KELO-0001",15,"KENBERT LOGISTICS","KENBERT","","KNAB2511MPT013793","","","KNAB2511MPT013793","BEAME SUBS","BEAME SUBS","","","","1","0.00%","0.00","157.11","180.68","180.68"
"KELO-0001",15,"KENBERT LOGISTICS","KENBERT","","COR1V9","","","VR3USHNLWNJ772357 ","BEAME SUBS","BEAME SUBS","REG UPDATE FROM CH772357 - 19/02/2024","","","1","0.00%","141.42","164.95","189.69","189.69"
"KELO-0001",15,"KENBERT LOGISTICS","KENBERT","","KENBERT ","","","KENBERT - NEW BEAME INSTALL - CH88833","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","","","","1","0.00%","141.42","164.95","189.69","189.69"
"KELO-0001",15,"KENBERT LOGISTICS","KENBERT","","CH277830","","","CH277830","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","","","","1","0.00%","89.00","89","102.35","102.35"
"KELO-0001",15,"KENBERT LOGISTICS","KENBERT","","HY14XGGP","","","CY50536 - KENBERT - NEW BEAME","Beame Monthly Bom","Beame Subs","OLD REG - CY50536","","","1","0.00%","0.00","164.95","189.69","189.69"
"KEAD-0001",3,"KEYLAND ADMINISTRATION CC","KEY001","","CH1333978","","","CH1333978","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","","","","1","0.00%","0.00","93.45","107.47","107.47"
"KANO-0001",1,"KARIN NOTHNAGEL","KNO001","","XVV477GP","","","XVV477GP","Beame Monthly Bom","Beame Subs","","","","1","0.00%","0.00","105.73","121.59","121.59"
"MACS-0025",42,"MACSTEEL TRADING DURBAN  - DIV OF MSCSA (PTY) LTD","MACDBN","","CM67HRGP - F41","","","","ANNUITY","ANNUITY","TRANS FROM MACHARVEY TO MACDBN","","","1","0.00%","0.00","667.74","767.9","767.9"
"MACS-0007",5,"MACSTEEL EXPRESS NELSPRUIT (PTY) LTD","MEN001","","KS56TLGP","","","","Beame Subs","Beame Monthly Fee"," (2ND BEAME) - REG UPDATE FROM - DSR207MP","","","1","0.00%","0.00","","",""
"SPAR-0001",23,"SPAR SOUTH RAND","SPARSR","","KH08NVGP","","","KH08NVGP","Skylink Rental","Skylink rental monthly fee","","","","1","0.00%","0.00","569.36","654.76","654.76"
"SPAR-0001",23,"SPAR SOUTH RAND","SPARSR","","FJ76YSGP","","","","ANNUITY","ANNUITY","TRANSFER FROM SPARCO.","","","1","0.00%","0.00","478.17","549.9","549.9"
"MACS-0021",13,"VRN DURBAN","VRNDBN","","GPS093L","","","","BM Services","Beame Monthly Fee","UPDATE FROM NPN10542(2ND SEC BEAME)","","","1","0.00%","0.00","","",""
"MACS-0021",13,"VRN DURBAN","VRNDBN","","DND125L","NPN47632 (2ND SEC BEAME)","04774947","","Beame","Matrix Beame recovery unit","UPDATE FROM NPN47632(2ND SEC BEAME)","","","1","0.00%","0.00","","",""
"MACS-0036",4,"VRN SPRINGBOK","VRNSPR","","BL87ZWGP","","","","ANNUITY","ANNUITY","","","","1","0.00%","0.00","667.74","767.9","767.9"
"MACS-0038",10,"VRN WITBANK","VRNWITB","","CN23FCGP ","","","","Beame Subs","Beame Monthly Fee","(2ND BEAME)","","","1","0.00%","0.00","","",""
