code,description
P08OBDSAFETY,Skylink OBD Plugin
DUT-E S6 2SC-100,DUT-E 1M EXTENTION CABLE FOR FUEL PROBE
VW-502-D,VW-502-D
DUT-E-S6-SC-CW-150,DUT-E S6 SC-CW-150 / DUT-E 1.5 EXTENTION CABLE FOR FUEL PROBE
VW-808,VW-808
VW-A3-4GFW,VW-A3-4GFW
VW-4S1-AI,VW-4S1-AI
P08ICAN2,P08ICAN2
VW-DMS BRACKET,VW-DMS BRACKET
VW-A4-AI,VW-A4-AI
RECIEVED---23072025,RECIEVED - 23.07.2025
RECEIVED---10062025,RECEIVED - 10.06.2025
RECEIVED--14082025-,RECEIVED- 14.08.2025
440FT09,BEAME BEACON U0061MT - MK6
VW-ADAS---TOTAL,VW-ADAS - TOTAL 47
1TB HARDDRIVE,1TB HARDDRIVE / TOTAL 14
RECEIVED---24012025,RECEIVED - 24.01.2025
VW-4S1-AI---TOTAL,VW-4S1-AI - TOTAL  43 / 29.10.2024
VW-4S1-GF---TOTAL,VW-4S1-GF - TOTAL 1
P08SCOOTER,Skylink Motorbike
P08STAR---TOTAL,P08STAR - TOTAL  (84)
MTX-MC820E,ROAD FACING ADAS CAM
MTX-804A-REAR-VIEW-AHD,MTX-804A-REAR VIEW AHD CAMERA
VW-304,VW-304
VW-MEC-5,EXTENSION CABLE FOR A2 DASHCAM
RECEIVED---26062025,RECEIVED - 26.06.2025
VW-DMS---BRACKETS,VW-DMS - BRACKETS - RECEIVED - 12.03.2025
RECEIVED---27112024,RECEIVED - 27.11.2024
VW-4H-GF,VW-4H-GF
VW-EC6-5,EXTENTION CABLE 6 PIN 5 METER
VW-502,VW-502
VW-EC-3,VW-EC-3
VW-502-F,VW-502-F
RECEIVED---09092025,RECEIVED - 09.09.2025
VW-300,VW-300
MTX-MC804A,REAR VIEW AHD CAMERA
MTX-804I-REAR-VIEW-IPC,MTX-804I-REAR VIEW IPC CAMERA
MTX-SPEAKER,SPEAKER
VW-VM-709,INDUSTRIAL SCREEN 7 INCH
SERVICE-ADAPTER-,SERVICE ADAPTER   - TOTAL 3
MTX-MC833,DRIVER FACING CAM NO AI
MTX-SENSOR,FUEL SENSOR
MTX-MC808K--OUTSIDE,MTX-MC808K / OUTSIDE SIDE VIEW CAM - Received - 
VW-SP01,ALERT SPEAKER FOR AI
VW-800,VW-800
MTX-MC832,ROAD FACING
P08KETWPROOF,KEYBOARD WATERPROOF FOR STARLINK
SAFETY---TOTAL,SAFETY - TOTAL 8
VW-MIC,EXTERNAL MIC VW
A3-MEC-5,A3 MEC 5 CABLE - RECEIVED - 12.03.2025
SKY-PR01 - 4G RF,SKY-PR01 - 4G RF
SKY-P08STARLINKTRAILER,Skylink Asset tracking device
VW-A2 POWER CABLES,A2 POWER CABLES
SKY-P30DALASKEY,SKY-P30DALASKEY
VW-A2-2GFW---TOTAL,VW-A2-2GFW - TOTAL 44
MTX-MC804I,REAR VIEW IPC CAMERA
MTX-MC807I---IP,MTX-MC807I - IP CAMERA ROUND
VW-SD-512,512GB SD CARD
MTX-MC904-EU-,MTX-MC904 EU / MDVR MINI -5CH - AI
MTX-SD-CARD-,MTX-SD CARD / SD CARD 512GB
VW-A2-MOTORBIKE,VW-A2-MOTORBIKE
P05KITNZR,SKY - STARLINK SPARE HARNESS
P08CASAE,P08CASAE
P08PALSTAR,Skylink Voice Kit Unit
SKY-E CAN,SKY - J1708 E-CAN
MTX-MC807I,IP CAMERA
RECEIVED---10102025,RECEIVED - 10.10.2025
VW-402,VW-402
MTX-MC808K,OUTSIDE SIDE VIEW CAM
MTX-CABLE-10M-,MTX-CABLE 10M / 10 METER EXT CABLE
MTX-CABLE-15M-,MTX-CABLE 15M / 15 METER EXT CABLE - NEED TO SCAN IN SYSTEM
MTX-5M-IPC-6,MTX-5M IPC 6 PIN / 5M IP CAMERA CABLE 6 PINS
MTX---10,MTX - 10 METER 6PIN CABLE
DUT-E CAN L=1000,DUT-E CAN L=1000
P08KETEXPENSESLINS,SKYLINK KEYPAD
DUT-E 3SC,DUT-E T CONNECTOR
DUT-E KDC 500,DUT-E KDC 500MM PROBE EXTENTION
P03STARLINKBATTERY,P03STARLINKBATTERY
DUT-E KDC 1000,DUT-E KDC 1000MM PROBE EXTENTION
SKY---PR08,SKY - PR08 - 13 
DUT-E FP CT,DUT-E FASTENING PLATE (CONCAVE) 
RECEIVED---11062025,RECEIVED - 11.06.2025
P03STARLINKONBATGREEN,P03STARLINKONBATGREEN
VW-A2 MOUNTING BRACKET,VW-A2 MOUNTING BRACKET
VW-200,VW-200
DUT-E S6 SC-CW-150,DUT-E S6 SC-CW-150
VW-DVR GSM,VW-DVR GSM
VW-DMS01,VW-DMS01
P03ONBATIGNAUMICROSIM,P03ONBATIGNAUMICROSIM
